data_venda,tipo_cliente,produto,quantidade,preco_unitario,receita
2024-08-21 17:57:15.748149,B2B,Notebook,1,1506.48,1506.48
2024-10-07 17:57:15.748149,B2C,Teclado,3,1506.48,4519.4400000000005
2024-11-09 17:57:15.748149,B2B,Monitor,9,1506.48,13558.32
2025-01-04 17:57:15.748149,B2C,Mouse,5,1506.48,7532.4
2024-11-28 17:57:15.748149,B2C,Teclado,6,1506.48,9038.880000000001
2025-01-29 17:57:15.748149,B2B,Mouse,4,1506.48,6025.92
2024-10-15 17:57:15.748149,B2C,Notebook,2,1506.48,3012.96
2025-01-06 17:57:15.748149,B2B,Mouse,8,1506.48,12051.84
2025-01-11 17:57:15.748149,B2C,Mouse,6,1506.48,9038.880000000001
2024-12-13 17:57:15.748149,B2C,Smartphone,5,1506.48,7532.4
2024-09-03 17:57:15.748149,B2B,Smartphone,9,1506.48,13558.32
2025-06-15 17:57:15.748149,B2C,Smartphone,1,1506.48,1506.48
2024-10-31 17:57:15.748149,B2C,Mouse,5,1506.48,7532.4
2025-01-02 17:57:15.748149,B2C,Monitor,6,1506.48,9038.880000000001
2024-11-28 17:57:15.748149,B2C,Mouse,5,1506.48,7532.4
2025-01-31 17:57:15.748149,B2C,Monitor,6,1506.48,9038.880000000001
2025-06-27 17:57:15.748149,B2B,Monitor,6,1506.48,9038.880000000001
2025-03-03 17:57:15.748149,B2C,Smartphone,7,1506.48,10545.36
2025-07-23 17:57:15.748149,B2B,Teclado,4,1506.48,6025.92
2024-10-10 17:57:15.748149,B2C,Notebook,8,1506.48,12051.84
2025-06-03 17:57:15.748149,B2B,Smartphone,7,1506.48,10545.36
2024-08-27 17:57:15.748149,B2B,Smartphone,9,1506.48,13558.32
2024-09-14 17:57:15.748149,B2C,Teclado,7,1506.48,10545.36
2025-07-29 17:57:15.748149,B2C,Notebook,3,1506.48,4519.4400000000005
2024-08-28 17:57:15.748149,B2C,Mouse,3,1506.48,4519.4400000000005
2025-03-31 17:57:15.748149,B2B,Mouse,8,1506.48,12051.84
2025-03-24 17:57:15.748149,B2C,Smartphone,5,1506.48,7532.4
2025-06-05 17:57:15.748149,B2B,Notebook,4,1506.48,6025.92
2025-03-21 17:57:15.748149,B2B,Smartphone,8,1506.48,12051.84
2025-05-18 17:57:15.748149,B2B,Monitor,6,1506.48,9038.880000000001
2025-02-25 17:57:15.748149,B2C,Smartphone,2,1506.48,3012.96
2024-10-22 17:57:15.748149,B2C,Smartphone,4,1506.48,6025.92
2024-11-19 17:57:15.748149,B2B,Mouse,4,1506.48,6025.92
2024-12-19 17:57:15.748149,B2B,Mouse,6,1506.48,9038.880000000001
2025-06-27 17:57:15.748149,B2C,Mouse,6,1506.48,9038.880000000001
2025-07-10 17:57:15.748149,B2B,Monitor,1,1506.48,1506.48
2025-03-25 17:57:15.748149,B2C,Mouse,8,1506.48,12051.84
2025-01-18 17:57:15.748149,B2B,Notebook,6,1506.48,9038.880000000001
2024-09-13 17:57:15.748149,B2C,Teclado,3,1506.48,4519.4400000000005
2024-11-12 17:57:15.748149,B2B,Notebook,9,1506.48,13558.32
2025-07-05 17:57:15.748149,B2C,Notebook,2,1506.48,3012.96
2025-06-20 17:57:15.748149,B2B,Mouse,8,1506.48,12051.84
2025-06-06 17:57:15.748149,B2C,Teclado,3,1506.48,4519.4400000000005
2025-01-03 17:57:15.748149,B2C,Teclado,5,1506.48,7532.4
2024-10-18 17:57:15.748149,B2B,Teclado,6,1506.48,9038.880000000001
2025-04-30 17:57:15.748149,B2B,Monitor,6,1506.48,9038.880000000001
2025-02-16 17:57:15.748149,B2C,Mouse,4,1506.48,6025.92
2024-08-12 17:57:15.748149,B2B,Teclado,3,1506.48,4519.4400000000005
2025-01-05 17:57:15.748149,B2C,Monitor,4,1506.48,6025.92
2025-07-03 17:57:15.748149,B2B,Smartphone,1,1506.48,1506.48
2024-12-23 17:57:15.748149,B2C,Smartphone,4,1506.48,6025.92
2025-04-28 17:57:15.748149,B2C,Monitor,1,1506.48,1506.48
2025-03-29 17:57:15.748149,B2C,Monitor,1,1506.48,1506.48
2024-11-23 17:57:15.748149,B2C,Mouse,6,1506.48,9038.880000000001
2025-08-02 17:57:15.748149,B2C,Mouse,5,1506.48,7532.4
2025-01-01 17:57:15.748149,B2C,Smartphone,4,1506.48,6025.92
2024-11-25 17:57:15.748149,B2B,Teclado,3,1506.48,4519.4400000000005
2024-08-13 17:57:15.748149,B2B,Smartphone,1,1506.48,1506.48
2024-10-28 17:57:15.748149,B2B,Teclado,6,1506.48,9038.880000000001
2025-01-12 17:57:15.748149,B2C,Teclado,2,1506.48,3012.96
2025-07-23 17:57:15.748149,B2C,Mouse,8,1506.48,12051.84
2024-08-26 17:57:15.748149,B2C,Notebook,5,1506.48,7532.4
2025-06-26 17:57:15.748149,B2C,Notebook,7,1506.48,10545.36
2025-02-09 17:57:15.748149,B2B,Monitor,2,1506.48,3012.96
2025-06-05 17:57:15.748149,B2B,Mouse,8,1506.48,12051.84
2024-08-20 17:57:15.748149,B2C,Teclado,2,1506.48,3012.96
2024-12-19 17:57:15.748149,B2B,Notebook,4,1506.48,6025.92
2024-12-09 17:57:15.748149,B2B,Teclado,1,1506.48,1506.48
2025-06-16 17:57:15.748149,B2C,Notebook,5,1506.48,7532.4
2025-05-03 17:57:15.748149,B2B,Notebook,9,1506.48,13558.32
2024-12-28 17:57:15.748149,B2C,Notebook,1,1506.48,1506.48
2024-12-19 17:57:15.748149,B2B,Mouse,9,1506.48,13558.32
2024-12-13 17:57:15.748149,B2C,Smartphone,8,1506.48,12051.84
2025-03-17 17:57:15.748149,B2C,Teclado,6,1506.48,9038.880000000001
2025-02-17 17:57:15.748149,B2C,Mouse,7,1506.48,10545.36
2025-07-09 17:57:15.748149,B2C,Mouse,3,1506.48,4519.4400000000005
2025-07-02 17:57:15.748149,B2B,Mouse,1,1506.48,1506.48
2025-07-25 17:57:15.748149,B2C,Mouse,5,1506.48,7532.4
2025-02-28 17:57:15.748149,B2C,Mouse,2,1506.48,3012.96
2024-09-14 17:57:15.748149,B2C,Monitor,5,1506.48,7532.4
2025-02-01 17:57:15.748149,B2B,Teclado,8,1506.48,12051.84
2024-12-07 17:57:15.748149,B2C,Mouse,9,1506.48,13558.32
2025-05-13 17:57:15.748149,B2B,Teclado,2,1506.48,3012.96
2024-10-27 17:57:15.748149,B2C,Monitor,3,1506.48,4519.4400000000005
2025-06-02 17:57:15.748149,B2B,Monitor,3,1506.48,4519.4400000000005
2025-02-18 17:57:15.748149,B2B,Teclado,1,1506.48,1506.48
2025-06-23 17:57:15.748149,B2C,Notebook,8,1506.48,12051.84
2025-06-06 17:57:15.748149,B2B,Smartphone,6,1506.48,9038.880000000001
2025-03-26 17:57:15.748149,B2C,Notebook,8,1506.48,12051.84
2024-10-27 17:57:15.748149,B2C,Notebook,9,1506.48,13558.32
2025-07-10 17:57:15.748149,B2C,Notebook,5,1506.48,7532.4
2025-04-21 17:57:15.748149,B2B,Mouse,3,1506.48,4519.4400000000005
2025-06-24 17:57:15.748149,B2B,Monitor,5,1506.48,7532.4
2024-09-01 17:57:15.748149,B2C,Notebook,5,1506.48,7532.4
2024-10-25 17:57:15.748149,B2C,Monitor,5,1506.48,7532.4
2024-09-10 17:57:15.748149,B2B,Teclado,3,1506.48,4519.4400000000005
2025-04-01 17:57:15.748149,B2C,Smartphone,4,1506.48,6025.92
2024-08-24 17:57:15.748149,B2C,Teclado,9,1506.48,13558.32
2024-12-19 17:57:15.748149,B2C,Teclado,9,1506.48,13558.32
2025-01-29 17:57:15.748149,B2B,Mouse,2,1506.48,3012.96
2024-12-25 17:57:15.748149,B2B,Smartphone,8,1506.48,12051.84
2024-10-28 17:57:15.748149,B2B,Teclado,8,1506.48,12051.84
2025-04-08 17:57:15.748149,B2C,Teclado,7,1506.48,10545.36
2025-04-13 17:57:15.748149,B2C,Smartphone,8,1506.48,12051.84
2024-12-17 17:57:15.748149,B2C,Smartphone,3,1506.48,4519.4400000000005
2024-11-21 17:57:15.748149,B2B,Teclado,6,1506.48,9038.880000000001
2024-08-13 17:57:15.748149,B2C,Smartphone,1,1506.48,1506.48
2025-01-21 17:57:15.748149,B2C,Teclado,7,1506.48,10545.36
2025-03-23 17:57:15.748149,B2C,Teclado,1,1506.48,1506.48
2024-09-23 17:57:15.748149,B2C,Mouse,9,1506.48,13558.32
2025-02-23 17:57:15.748149,B2B,Notebook,1,1506.48,1506.48
2024-12-25 17:57:15.748149,B2B,Teclado,1,1506.48,1506.48
2024-10-04 17:57:15.748149,B2C,Monitor,7,1506.48,10545.36
2024-12-16 17:57:15.748149,B2B,Notebook,2,1506.48,3012.96
2025-02-16 17:57:15.748149,B2B,Notebook,5,1506.48,7532.4
2025-03-08 17:57:15.748149,B2C,Notebook,8,1506.48,12051.84
2024-09-26 17:57:15.748149,B2C,Mouse,8,1506.48,12051.84
2025-02-28 17:57:15.748149,B2B,Teclado,3,1506.48,4519.4400000000005
2025-05-03 17:57:15.748149,B2C,Mouse,7,1506.48,10545.36
2024-12-17 17:57:15.748149,B2B,Teclado,3,1506.48,4519.4400000000005
2025-02-08 17:57:15.748149,B2C,Mouse,6,1506.48,9038.880000000001
2025-04-16 17:57:15.748149,B2B,Mouse,6,1506.48,9038.880000000001
2024-09-23 17:57:15.748149,B2C,Monitor,3,1506.48,4519.4400000000005
2025-06-16 17:57:15.748149,B2B,Mouse,7,1506.48,10545.36
2024-11-12 17:57:15.748149,B2B,Smartphone,3,1506.48,4519.4400000000005
2024-10-16 17:57:15.748149,B2B,Monitor,8,1506.48,12051.84
2025-04-16 17:57:15.748149,B2C,Mouse,4,1506.48,6025.92
2025-04-28 17:57:15.748149,B2B,Notebook,1,1506.48,1506.48
2025-04-16 17:57:15.748149,B2B,Smartphone,4,1506.48,6025.92
2025-05-18 17:57:15.748149,B2C,Smartphone,7,1506.48,10545.36
2025-02-01 17:57:15.748149,B2C,Smartphone,4,1506.48,6025.92
2025-04-16 17:57:15.748149,B2B,Monitor,6,1506.48,9038.880000000001
2025-08-05 17:57:15.748149,B2B,Mouse,9,1506.48,13558.32
2025-03-30 17:57:15.748149,B2C,Mouse,1,1506.48,1506.48
2024-12-30 17:57:15.748149,B2C,Notebook,5,1506.48,7532.4
2025-06-14 17:57:15.748149,B2C,Notebook,7,1506.48,10545.36
2024-08-29 17:57:15.748149,B2C,Smartphone,1,1506.48,1506.48
2024-12-26 17:57:15.748149,B2C,Notebook,4,1506.48,6025.92
2024-12-25 17:57:15.748149,B2B,Monitor,6,1506.48,9038.880000000001
2025-04-03 17:57:15.748149,B2C,Mouse,2,1506.48,3012.96
2025-03-30 17:57:15.748149,B2B,Smartphone,5,1506.48,7532.4
2025-06-15 17:57:15.748149,B2B,Notebook,1,1506.48,1506.48
2025-02-16 17:57:15.748149,B2B,Monitor,6,1506.48,9038.880000000001
2025-01-01 17:57:15.748149,B2C,Monitor,6,1506.48,9038.880000000001
2025-02-28 17:57:15.748149,B2B,Notebook,4,1506.48,6025.92
2025-01-21 17:57:15.748149,B2B,Mouse,8,1506.48,12051.84
2024-12-03 17:57:15.748149,B2C,Notebook,4,1506.48,6025.92
2024-09-17 17:57:15.748149,B2B,Smartphone,8,1506.48,12051.84
2025-01-16 17:57:15.748149,B2B,Notebook,8,1506.48,12051.84
2025-02-04 17:57:15.748149,B2C,Monitor,5,1506.48,7532.4
2025-04-06 17:57:15.748149,B2B,Notebook,4,1506.48,6025.92
2024-11-25 17:57:15.748149,B2B,Mouse,2,1506.48,3012.96
2024-10-17 17:57:15.748149,B2B,Teclado,3,1506.48,4519.4400000000005
2024-10-31 17:57:15.748149,B2C,Notebook,3,1506.48,4519.4400000000005
2024-09-16 17:57:15.748149,B2C,Mouse,4,1506.48,6025.92
2025-05-01 17:57:15.748149,B2C,Mouse,4,1506.48,6025.92
2025-01-21 17:57:15.748149,B2B,Monitor,5,1506.48,7532.4
2024-12-10 17:57:15.748149,B2B,Mouse,4,1506.48,6025.92
2025-03-16 17:57:15.748149,B2C,Mouse,8,1506.48,12051.84
2025-05-02 17:57:15.748149,B2B,Mouse,6,1506.48,9038.880000000001
2025-01-18 17:57:15.748149,B2B,Mouse,6,1506.48,9038.880000000001
2025-04-05 17:57:15.748149,B2C,Smartphone,8,1506.48,12051.84
2025-02-01 17:57:15.748149,B2C,Smartphone,7,1506.48,10545.36
2024-09-15 17:57:15.748149,B2B,Monitor,8,1506.48,12051.84
2024-08-23 17:57:15.748149,B2B,Notebook,2,1506.48,3012.96
2024-11-21 17:57:15.748149,B2B,Mouse,9,1506.48,13558.32
2025-03-12 17:57:15.748149,B2C,Notebook,1,1506.48,1506.48
2024-11-28 17:57:15.748149,B2C,Notebook,8,1506.48,12051.84
2024-08-26 17:57:15.748149,B2C,Monitor,4,1506.48,6025.92
2025-03-13 17:57:15.748149,B2C,Mouse,4,1506.48,6025.92
2025-03-12 17:57:15.748149,B2B,Mouse,5,1506.48,7532.4
2024-08-20 17:57:15.748149,B2C,Teclado,8,1506.48,12051.84
2025-01-20 17:57:15.748149,B2C,Notebook,5,1506.48,7532.4
2024-10-03 17:57:15.748149,B2C,Notebook,8,1506.48,12051.84
2025-04-01 17:57:15.748149,B2C,Smartphone,1,1506.48,1506.48
2025-06-29 17:57:15.748149,B2C,Teclado,9,1506.48,13558.32
2024-09-03 17:57:15.748149,B2B,Smartphone,6,1506.48,9038.880000000001
2024-08-12 17:57:15.748149,B2B,Smartphone,3,1506.48,4519.4400000000005
2025-03-31 17:57:15.748149,B2C,Smartphone,8,1506.48,12051.84
2024-11-13 17:57:15.748149,B2B,Monitor,9,1506.48,13558.32
2025-03-09 17:57:15.748149,B2C,Monitor,6,1506.48,9038.880000000001
2024-10-13 17:57:15.748149,B2C,Smartphone,7,1506.48,10545.36
2025-04-30 17:57:15.748149,B2B,Teclado,1,1506.48,1506.48
2024-11-17 17:57:15.748149,B2B,Notebook,5,1506.48,7532.4
2024-11-28 17:57:15.748149,B2C,Teclado,5,1506.48,7532.4
2025-03-16 17:57:15.748149,B2C,Mouse,4,1506.48,6025.92
2024-08-26 17:57:15.748149,B2C,Monitor,6,1506.48,9038.880000000001
2025-04-17 17:57:15.748149,B2B,Notebook,7,1506.48,10545.36
2025-06-08 17:57:15.748149,B2C,Notebook,9,1506.48,13558.32
2025-08-05 17:57:15.748149,B2C,Mouse,1,1506.48,1506.48
2024-10-07 17:57:15.748149,B2C,Mouse,6,1506.48,9038.880000000001
2024-11-26 17:57:15.748149,B2B,Smartphone,7,1506.48,10545.36
2025-03-20 17:57:15.748149,B2C,Monitor,3,1506.48,4519.4400000000005
2025-07-01 17:57:15.748149,B2C,Monitor,8,1506.48,12051.84
2025-02-28 17:57:15.748149,B2B,Teclado,5,1506.48,7532.4
2025-07-29 17:57:15.748149,B2C,Smartphone,9,1506.48,13558.32
2024-12-17 17:57:15.748149,B2C,Smartphone,5,1506.48,7532.4
2025-04-30 17:57:15.748149,B2B,Smartphone,9,1506.48,13558.32
2025-03-13 17:57:15.748149,B2C,Smartphone,4,1506.48,6025.92
2024-10-07 17:57:15.748149,B2B,Monitor,9,1506.48,13558.32
2025-01-11 17:57:15.748149,B2B,Monitor,5,1506.48,7532.4
2025-03-29 17:57:15.748149,B2C,Smartphone,9,1506.48,13558.32
2025-03-08 17:57:15.748149,B2C,Teclado,3,1506.48,4519.4400000000005
2025-06-14 17:57:15.748149,B2C,Notebook,4,1506.48,6025.92
2025-04-09 17:57:15.748149,B2C,Notebook,9,1506.48,13558.32
2025-02-27 17:57:15.748149,B2B,Teclado,6,1506.48,9038.880000000001
2025-04-13 17:57:15.748149,B2C,Smartphone,2,1506.48,3012.96
2025-05-24 17:57:15.748149,B2B,Monitor,7,1506.48,10545.36
2025-04-16 17:57:15.748149,B2C,Notebook,2,1506.48,3012.96
2025-04-25 17:57:15.748149,B2C,Mouse,2,1506.48,3012.96
2024-09-01 17:57:15.748149,B2C,Mouse,1,1506.48,1506.48
2024-11-26 17:57:15.748149,B2B,Teclado,3,1506.48,4519.4400000000005
2024-12-23 17:57:15.748149,B2C,Smartphone,6,1506.48,9038.880000000001
2025-04-17 17:57:15.748149,B2C,Notebook,8,1506.48,12051.84
2025-04-30 17:57:15.748149,B2C,Smartphone,9,1506.48,13558.32
2025-03-07 17:57:15.748149,B2C,Notebook,7,1506.48,10545.36
2024-08-23 17:57:15.748149,B2B,Teclado,4,1506.48,6025.92
2024-09-03 17:57:15.748149,B2C,Teclado,6,1506.48,9038.880000000001
2025-01-25 17:57:15.748149,B2B,Mouse,5,1506.48,7532.4
2024-10-01 17:57:15.748149,B2B,Smartphone,8,1506.48,12051.84
2025-02-25 17:57:15.748149,B2B,Mouse,1,1506.48,1506.48
2025-01-11 17:57:15.748149,B2B,Smartphone,1,1506.48,1506.48
2025-02-19 17:57:15.748149,B2B,Mouse,6,1506.48,9038.880000000001
2025-02-27 17:57:15.748149,B2B,Monitor,2,1506.48,3012.96
2025-05-31 17:57:15.748149,B2C,Monitor,5,1506.48,7532.4
2024-10-22 17:57:15.748149,B2B,Monitor,1,1506.48,1506.48
